Lat,Lon,Title,Continent,Country or area,City,X.1,Statistical concept,2000,2000_tooltip,2016,2016_tooltip,2030,2000-2016,2016-2030,Total population,Urban population,category
28,120.67,null,Asia,China,Wenzhou,"China, Wenzhou",Urban Agglomeration,1565,1.6 million,3319,3.3 million,4336,4.7,1.9,0.2,0.4,between 2.5 and 5
28.23,112.94,null,Asia,China,Changsha,"China, Changsha",Urban Agglomeration,2182,2.2 million,3882,3.9 million,5013,3.6,1.8,0.3,0.5,between 2.5 and 5
28.35,79.42,null,Asia,India,Bareilly,"India, Bareilly",Urban Agglomeration,722,0.7 million,1141,1.1 million,1598,2.9,2.4,0.1,0.3,between 2.5 and 5
28.54,-81.38,null,North America,United States of America,Orlando,"United States of America, Orlando",Urban Agglomeration,1165,1.2 million,1769,1.8 million,2115,2.6,1.3,0.5,0.7,between 2.5 and 5
28.64,121.42,null,Asia,China,"Taizhou, Zhejiang","China, Taizhou, Zhejiang",City Proper,992,1.0 million,1695,1.7 million,2189,3.4,1.8,0.1,0.2,between 2.5 and 5
28.67,77.22,null,Asia,India,Delhi,"India, Delhi",Urban Agglomeration,15732,15.7 million,26454,26.5 million,36060,3.2,2.2,2,6.2,between 2.5 and 5
28.68,115.88,null,Asia,China,Nanchang,"China, Nanchang",Urban Agglomeration,1648,1.6 million,2590,2.6 million,3285,2.8,1.7,0.2,0.3,between 2.5 and 5
28.83,78.78,null,Asia,India,Moradabad,"India, Moradabad",Urban Agglomeration,626,0.6 million,1054,1.1 million,1493,3.3,2.5,0.1,0.2,between 2.5 and 5
28.97,77.72,null,Asia,India,Meerut,"India, Meerut",Urban Agglomeration,1143,1.1 million,1579,1.6 million,2140,2,2.2,0.1,0.4,between 0 and 2.5
29.08,119.65,null,Asia,China,Jinhua,"China, Jinhua",Urban Agglomeration,353,0.4 million,1030,1.0 million,1495,6.7,2.7,0.1,0.1,5 or more
29.32,120.08,null,Asia,China,Yiwu,"China, Yiwu",Urban Agglomeration,532,0.5 million,1124,1.1 million,1520,4.7,2.2,0.1,0.1,between 2.5 and 5
29.35,47.98,null,Asia,Kuwait,Al Kuwayt (Kuwait City),"Kuwait, Al Kuwayt (Kuwait City)",City Proper,1300,1.3 million,2874,2.9 million,3915,5,2.2,78.1,79.4,5 or more
29.42,-98.49,null,North America,United States of America,San Antonio,"United States of America, San Antonio",Urban Agglomeration,1337,1.3 million,2077,2.1 million,2488,2.8,1.3,0.6,0.8,between 2.5 and 5
29.56,106.55,null,Asia,China,Chongqing,"China, Chongqing",Urban Agglomeration,7863,7.9 million,13744,13.7 million,17380,3.5,1.7,1,1.7,between 2.5 and 5
29.6,52.54,null,Asia,Iran (Islamic Republic of),Shiraz,"Iran (Islamic Republic of), Shiraz",City Proper,1115,1.1 million,1716,1.7 million,2233,2.7,1.9,2.1,2.9,between 2.5 and 5
29.76,-95.37,null,North America,United States of America,Houston,"United States of America, Houston",Urban Agglomeration,3847,3.8 million,5757,5.8 million,6729,2.5,1.1,1.8,2.1,between 2.5 and 5
29.88,121.55,null,Asia,China,Ningbo,"China, Ningbo",Urban Agglomeration,1643,1.6 million,3250,3.3 million,4290,4.3,2,0.2,0.4,between 2.5 and 5
30.01,120.57,null,Asia,China,Shaoxing,"China, Shaoxing",Urban Agglomeration,1124,1.1 million,2151,2.2 million,2841,4.1,2,0.2,0.3,between 2.5 and 5
30.04,31.24,null,Africa,Egypt,Al-Qahirah (Cairo),"Egypt, Al-Qahirah (Cairo)",Metropolitan area,13626,13.6 million,19128,19.1 million,24502,2.1,1.8,22.2,51.5,between 0 and 2.5
30.18,121.25,null,Asia,China,Cixi,"China, Cixi",Urban Agglomeration,650,0.7 million,1356,1.4 million,1829,4.6,2.1,0.1,0.2,between 2.5 and 5
30.18,71.48,null,Asia,Pakistan,Multan,"Pakistan, Multan",Urban Agglomeration,1263,1.3 million,1969,2.0 million,2866,2.8,2.7,1,2.6,between 2.5 and 5
30.18,71.48,null,Asia,Pakistan,Multan,"Pakistan, Multan",Urban Agglomeration,1263,1.3 million,1969,2.0 million,2866,2.8,2.7,1,2.6,between 2.5 and 5
30.2,67.01,null,Asia,Pakistan,Quetta,"Pakistan, Quetta",Urban Agglomeration,615,0.6 million,1148,1.1 million,1740,3.9,3,0.6,1.5,between 2.5 and 5
30.2,67.01,null,Asia,Pakistan,Quetta,"Pakistan, Quetta",Urban Agglomeration,615,0.6 million,1148,1.1 million,1740,3.9,3,0.6,1.5,between 2.5 and 5
30.27,-97.74,null,North America,United States of America,Austin,"United States of America, Austin",Urban Agglomeration,911,0.9 million,1744,1.7 million,2182,4.1,1.6,0.5,0.7,between 2.5 and 5
30.33,-81.66,null,North America,United States of America,"Jacksonville, Florida","United States of America, Jacksonville, Florida",Urban Agglomeration,886,0.9 million,1190,1.2 million,1398,1.8,1.2,0.4,0.4,between 0 and 2.5
30.5,47.81,null,Asia,Iraq,Al-Basrah (Basra),"Iraq, Al-Basrah (Basra)",City Proper,759,0.8 million,1041,1.0 million,1491,2,2.6,2.8,4.1,between 0 and 2.5
30.58,114.27,null,Asia,China,Wuhan,"China, Wuhan",Urban Agglomeration,6638,6.6 million,7979,8.0 million,9442,1.2,1.2,0.6,1,between 0 and 2.5
30.67,104.07,null,Asia,China,Chengdu,"China, Chengdu",Urban Agglomeration,4222,4.2 million,7820,7.8 million,10104,3.9,1.8,0.6,1,between 2.5 and 5
30.71,111.28,null,Asia,China,Yichang,"China, Yichang",Urban Agglomeration,692,0.7 million,1310,1.3 million,1743,4,2,0.1,0.2,between 2.5 and 5
30.73,76.79,null,Asia,India,Chandigarh,"India, Chandigarh",Urban Agglomeration,791,0.8 million,1159,1.2 million,1595,2.4,2.3,0.1,0.3,between 0 and 2.5
30.77,120.75,null,Asia,China,Jiaxing,"China, Jiaxing",Urban Agglomeration,440,0.4 million,1016,1.0 million,1408,5.2,2.3,0.1,0.1,5 or more
30.77,120.75,null,Asia,China,Jiaxing,"China, Jiaxing",Urban Agglomeration,440,0.4 million,1016,1.0 million,1408,5.2,2.3,0.1,0.1,5 or more
30.8,106.08,null,Asia,China,Nanchong,"China, Nanchong",Urban Agglomeration,606,0.6 million,1084,1.1 million,1426,3.6,2,0.1,0.1,between 2.5 and 5
30.9,75.85,null,Asia,India,Ludhiana,"India, Ludhiana",Urban Agglomeration,1368,1.4 million,1739,1.7 million,2316,1.5,2,0.1,0.4,between 0 and 2.5
31.19,29.9,null,Africa,Egypt,Al-Iskandariyah (Alexandria),"Egypt, Al-Iskandariyah (Alexandria)",City Proper,3546,3.5 million,4863,4.9 million,6313,2,1.9,5.7,13.1,between 0 and 2.5
31.22,121.46,null,Asia,China,Shanghai,"China, Shanghai",City Proper,13959,14.0 million,24484,24.5 million,30751,3.5,1.6,1.7,3.1,between 2.5 and 5
31.3,120.59,null,Asia,China,"Suzhou, Jiangsu","China, Suzhou, Jiangsu",Urban Agglomeration,2112,2.1 million,5788,5.8 million,8098,6.3,2.4,0.4,0.7,5 or more
31.32,48.67,null,Asia,Iran (Islamic Republic of),Ahvaz,"Iran (Islamic Republic of), Ahvaz",City Proper,868,0.9 million,1245,1.2 million,1575,2.3,1.7,1.5,2.1,between 0 and 2.5
31.33,118.38,null,Asia,China,"Wuhu, Anhui","China, Wuhu, Anhui",Urban Agglomeration,634,0.6 million,1495,1.5 million,2074,5.4,2.3,0.1,0.2,5 or more
31.42,73.08,null,Asia,Pakistan,Faisalabad,"Pakistan, Faisalabad",Urban Agglomeration,2142,2.1 million,3677,3.7 million,5419,3.4,2.8,1.9,4.9,between 2.5 and 5
31.48,104.74,null,Asia,China,"Mianyang, Sichuan","China, Mianyang, Sichuan",Urban Agglomeration,758,0.8 million,1085,1.1 million,1364,2.2,1.6,0.1,0.1,between 0 and 2.5
31.54,120.3,null,Asia,China,"Wuxi, Jiangsu","China, Wuxi, Jiangsu",Urban Agglomeration,1835,1.8 million,3109,3.1 million,3862,3.3,1.5,0.2,0.4,between 2.5 and 5
31.55,74.34,null,Asia,Pakistan,Lahore,"Pakistan, Lahore",Urban Agglomeration,5452,5.5 million,8990,9.0 million,13033,3.1,2.7,4.7,12,between 2.5 and 5
31.63,74.88,null,Asia,India,Amritsar,"India, Amritsar",Urban Agglomeration,990,1.0 million,1283,1.3 million,1721,1.6,2.1,0.1,0.3,between 0 and 2.5
31.63,-8.01,null,Africa,Morocco,Marrakech,"Morocco, Marrakech",City Proper,751,0.8 million,1168,1.2 million,1572,2.8,2.1,3.4,5.6,between 2.5 and 5
31.73,-106.48,null,North America,Mexico,Ciudad Juárez,"Mexico, Ciudad Juárez",Metropolitan area,1223,1.2 million,1401,1.4 million,1650,0.9,1.2,1.1,1.4,between 0 and 2.5
31.79,119.96,null,Asia,China,"Changzhou, Jiangsu","China, Changzhou, Jiangsu",Urban Agglomeration,1478,1.5 million,2653,2.7 million,3381,3.7,1.7,0.2,0.3,between 2.5 and 5
31.96,35.95,null,Asia,Jordan,Amman,"Jordan, Amman",City Proper,1017,1.0 million,1159,1.2 million,1355,0.8,1.1,14.8,17.7,between 0 and 2.5
31.99,120.87,null,Asia,China,Nantong,"China, Nantong",Urban Agglomeration,1006,1.0 million,2058,2.1 million,2755,4.5,2.1,0.1,0.3,between 2.5 and 5
32.01,112.14,null,Asia,China,Xiangyang,"China, Xiangyang",Urban Agglomeration,1202,1.2 million,1554,1.6 million,1907,1.6,1.5,0.1,0.2,between 0 and 2.5
32.05,118.79,null,Asia,China,"Nanjing, Jiangsu","China, Nanjing, Jiangsu",Urban Agglomeration,4279,4.3 million,7609,7.6 million,9754,3.6,1.8,0.5,1,between 2.5 and 5
32.08,34.78,null,Asia,Israel,Tel Aviv-Yafo (Tel Aviv-Jaffa),"Israel, Tel Aviv-Yafo (Tel Aviv-Jaffa)",Metropolitan area,2739,2.7 million,3661,3.7 million,4382,1.8,1.3,45.6,49.5,between 0 and 2.5
32.15,74.18,null,Asia,Pakistan,Gujranwala,"Pakistan, Gujranwala",Urban Agglomeration,1226,1.2 million,2193,2.2 million,3274,3.6,2.9,1.1,2.9,between 2.5 and 5
32.2,119.45,null,Asia,China,"Zhenjiang, Jiangsu","China, Zhenjiang, Jiangsu",Urban Agglomeration,743,0.7 million,1070,1.1 million,1349,2.3,1.7,0.1,0.1,between 0 and 2.5
32.39,119.42,null,Asia,China,Yangzhou,"China, Yangzhou",Urban Agglomeration,1217,1.2 million,1803,1.8 million,2269,2.5,1.6,0.1,0.2,between 2.5 and 5
32.49,119.9,null,Asia,China,"Taizhou, Jiangsu","China, Taizhou, Jiangsu",Urban Agglomeration,784,0.8 million,1211,1.2 million,1541,2.7,1.7,0.1,0.2,between 2.5 and 5
32.53,-117.02,null,North America,Mexico,Tijuana,"Mexico, Tijuana",Metropolitan area,1365,1.4 million,2032,2.0 million,2502,2.5,1.5,1.6,2,between 2.5 and 5
32.65,-115.47,null,North America,Mexico,Mexicali,"Mexico, Mexicali",Metropolitan area,770,0.8 million,1053,1.1 million,1288,2,1.4,0.8,1,between 0 and 2.5
32.66,51.68,null,Asia,Iran (Islamic Republic of),Esfahan,"Iran (Islamic Republic of), Esfahan",City Proper,1382,1.4 million,1915,1.9 million,2364,2,1.5,2.4,3.2,between 0 and 2.5
32.72,-117.16,null,North America,United States of America,San Diego,"United States of America, San Diego",Urban Agglomeration,2681,2.7 million,3129,3.1 million,3522,1,0.8,1,1.2,between 0 and 2.5
32.73,-97.32,null,North America,United States of America,Dallas-Fort Worth,"United States of America, Dallas-Fort Worth",Urban Agglomeration,4168,4.2 million,5799,5.8 million,6683,2.1,1,1.8,2.2,between 0 and 2.5
32.81,34.99,null,Asia,Israel,Hefa (Haifa),"Israel, Hefa (Haifa)",Metropolitan area,905,0.9 million,1105,1.1 million,1314,1.2,1.2,13.8,14.9,between 0 and 2.5
32.88,13.19,null,Africa,Libya,Tarabulus (Tripoli),"Libya, Tarabulus (Tripoli)",City Proper,1022,1.0 million,1128,1.1 million,1333,0.6,1.2,17.6,22.4,between 0 and 2.5
33,112.53,null,Asia,China,"Nanyang, Henan","China, Nanyang, Henan",Urban Agglomeration,672,0.7 million,1035,1.0 million,1320,2.7,1.7,0.1,0.1,between 2.5 and 5
33.34,44.4,null,Asia,Iraq,Baghdad,"Iraq, Baghdad",Metropolitan area,5200,5.2 million,6811,6.8 million,9710,1.7,2.5,18.5,26.6,between 0 and 2.5
33.36,120.16,null,Asia,China,"Yancheng, Jiangsu","China, Yancheng, Jiangsu",Urban Agglomeration,671,0.7 million,1502,1.5 million,2059,5,2.3,0.1,0.2,5 or more
33.45,-112.07,null,North America,United States of America,Phoenix-Mesa,"United States of America, Phoenix-Mesa",Urban Agglomeration,2923,2.9 million,4135,4.1 million,4808,2.2,1.1,1.3,1.5,between 0 and 2.5
33.51,36.31,null,Asia,Syrian Arab Republic,Dimashq (Damascus),"Syrian Arab Republic, Dimashq (Damascus)",Urban Agglomeration,2017,2.0 million,2586,2.6 million,3451,1.6,2.1,11.4,19.6,between 0 and 2.5
33.59,-7.62,null,Africa,Morocco,Dar-el-Beida (Casablanca),"Morocco, Dar-el-Beida (Casablanca)",Urban Agglomeration,3134,3.1 million,3544,3.5 million,4361,0.8,1.5,10.3,17,between 0 and 2.5
33.6,73.07,null,Asia,Pakistan,Rawalpindi,"Pakistan, Rawalpindi",Urban Agglomeration,1521,1.5 million,2582,2.6 million,3809,3.3,2.8,1.4,3.4,between 2.5 and 5
33.6,73.07,null,Asia,Pakistan,Rawalpindi,"Pakistan, Rawalpindi",Urban Agglomeration,1521,1.5 million,2582,2.6 million,3809,3.3,2.8,1.4,3.4,between 2.5 and 5
33.61,130.42,null,Asia,Japan,Kitakyushu-Fukuoka M.M.A.,"Japan, Kitakyushu-Fukuoka M.M.A.",Metropolitan area,5421,5.4 million,5494,5.5 million,5355,0.1,-0.2,4.3,4.6,between 0 and 2.5
33.7,73.06,null,Asia,Pakistan,Islamabad,"Pakistan, Islamabad",City Proper,597,0.6 million,1433,1.4 million,2275,5.5,3.3,0.7,1.9,5 or more
