title,hashid,create_time,class
2000～2024 年上市公司与土地出让数据匹配结果,338afdf9e7ef4bf59a9e4ccb18ca9d4d,2025-05-12T15:02:16Z,数据资料
名师讲堂｜Stata：如何根据专利申请数据构造城市间合作申请数量矩阵？,ba9dc58d311b45e3aed7f2cc5adbd281,2025-03-09T14:47:12Z,名师讲堂
2007～2020 年税调渐进性创新与突破性创新相关指标计算结果,a668fe30fc1f4b52bdb9ee570034c435,2026-01-02T22:03:43Z,数据资料
2000～2025 年政府采购供应商与工商注册信息匹配结果,207ff8762c694052912825a5db225c4a,2026-04-08T18:28:21Z,数据资料
1949～2024 年各省市区县每天是否有台风及台风路径矢量数据,5011b91692ce45b9acd3ae4c655c5224,2025-07-07T17:52:13Z,数据资料
2000 年 2 月～2023 年 12 月各省市区县 NDVI 面板数据,fcac3ef99f044bb79b17312fdafdc322,2025-04-22T22:11:58Z,数据资料
1990～2023 年上市公司参控股公司经纬度及其所处的省市区县,12642c96d0f242cb85b8ee12099d3e2f,2025-02-01T00:00:05Z,数据资料
1985～2024 年上市公司技术专业化和技术多样化指标计算结果,425b94e16c12463980a9e156888a6a1d,2026-05-28T19:55:47Z,数据资料
1980～2025 年中国各城市逆温数据,6100079e296c466dbc57b348f725abad,2026-02-10T22:04:14Z,数据资料
2007～2020 年税调与绿色低碳专利匹配结果,91ac36193772474583757c3d04d53465,2026-01-18T20:43:22Z,数据资料
1980年1月1日～2024年12月31日中国各省市区县地表PM2.5质量浓度,54b5c2c9bfc64e33a31403246d1231ec,2025-02-23T00:00:25Z,数据资料
名师讲堂｜使用 Stata 测算上市公司专利碎片化指数：专利所有权分散与专利丛林,4b3a2d6d626349618ee5ac522b1abb33,2025-03-16T15:39:47Z,名师讲堂
1990～2023 年上市公司参控股公司工商注册信息匹配结果,d6b36b925b09444da2febfb7bf3a83bf,2025-02-01T00:34:47Z,数据资料
2007～2020 年税调企业碳排放面板数据,3c397a6dd3054d688d3bd8f4ed7bd053,2026-05-09T14:32:30Z,数据资料
1985～2024 年各省市区县间各类型关键数字技术专利合作数量统计,c364967992904702915d38fb9e0a7ad0,2025-06-16T16:48:28Z,数据资料
2000年1月~2023年12月各省市区县、乡镇CO2排放量面板数据 & 栅格数据（CGER来源）,998a4e9f87c64014adf8e077b2def4d5,2025-05-29T11:22:54Z,数据资料
1985～2024 年上市公司关键核心技术突破指标面板数据（熵权法）,1a50058e8b8045b49a390c2c4dc15e68,2026-05-05T19:34:51Z,数据资料
1901～2024 年各省市区县乡镇月度降水量面板数据,bcb887c3243f4615b7cb1c8f04a8c131,2026-03-18T17:27:19Z,数据资料
2014～2025 年中国各省市区县分年、分月、逐日 PM2.5 面板数据,de52d3c2a5e74be38a4905757421942f,2026-03-10T15:34:12Z,数据资料
国家金融监管总局、省局、分局行政处罚数据（截止2025年8月2日）,28ac1ad7df3b4a43a1692adcf96a1919,2025-08-17T15:34:28Z,数据资料
1985～2024 年各省市区县间各类型战略新兴产业相关专利合作数量统计,ac527b12ed1f4bb497df473c1c6104f1,2025-06-18T16:40:25Z,数据资料
名师讲堂｜专利的前向相似度与后向相似度：使用 Stata 计算专利关键数字技术突破创新指标（二）,fb64d7abf9c74710a7e6fffde4d2e136,2025-04-01T23:46:17Z,名师讲堂
2013～2027 年专精特新企业经纬度及其所属的省市区县信息,ddc7859096ac4ea0bc961674ad13b1f7,2025-02-12T23:05:23Z,数据资料
名师讲堂｜使用 Stata 测算专利的创新突破度：CD指数（废弃）,ec0630ddd1144c299ec229677be6e01d,2026-01-21T12:46:07Z,名师讲堂
2007~2014 年税调与污染数据匹配结果(版本2),7ccf03e08f314374af879534b9ee8ecd,2025-03-03T23:30:46Z,数据资料
1990～2024 年上市公司注册地址与办公地址周边一定范围的 CO2 排放量面板数据,c72d81d321ab49f4859f8e7488e7df6e,2025-12-21T13:30:37Z,数据资料
上市公司高管简历及其是否有从政经历或政治背景数据,3099b5f152b24ea187b8b50067c95ba3,2025-11-07T20:22:39Z,数据资料
如何从论文图表中提取数据重新使用 Stata 或者 R 语言绘图,7791e1e75418405495d2c7c3d48b2e19,2025-09-09T00:30:41Z,课程
2007～2016 年税调与绿色专利数据匹配结果（版本3，国家知识产权局标准）,e74c1a11cf184fda8532a357b190ed5b,2025-01-30T15:43:45Z,数据资料
名师讲堂｜使用 Stata 筛选绿色技术专利（国家知识产权局标准）,66607ec05c3748699883f5e834682125,2025-01-14T00:48:30Z,名师讲堂
1985～2025 年各城市核心绿色生境景观破碎化指标面板数据,bdfd89c258af4b2bad8d9e73b75d2176,2026-03-25T20:38:49Z,数据资料
1992～2024 年各省市区县乡镇类 DMSP-OLS 夜间灯光基尼系数、泰尔指数及阿特金森指数面板数据（施开放版本）,9207514548c04b0fbb12491f6c518a69,2025-11-06T16:31:40Z,数据资料
2012～2025 年 VNP46A2 日度夜间灯光亮度栅格数据,7737f573d81f4cdfbf1f8513533771e1,2026-04-22T23:18:04Z,数据资料
2007～2020 年上市公司碳排放数据（根据税调匹配结果估算）,e2dab5ab8e6a404b9af1691a4621f5b4,2026-05-09T14:15:46Z,数据资料
2000～2024 年各城市多中心程度和人口集聚程度面板数据（Landscan 来源）,aa53a20cf4384f558ad5ccd7ef0218bf,2026-03-17T19:32:48Z,数据资料
R 语言：使用夜间灯光数据构造城市形态指标,641566c4bec6430fa796c07d8de3f5bf,2025-08-06T14:21:11Z,课程
2001～2023 年上市公司年报中包含研发的句子情感分析,ea25c918b4504a738a9f74f9203af72f,2025-03-22T14:01:36Z,数据资料
1980～2024 年中国各区县逆温数据（空气污染影响相关研究的工具变量）,6716f6a463b641a88b7308f86b9753d0,2025-02-20T14:11:15Z,数据资料
1973～2024 年各省市区县平均露点日度面板数据 & 栅格数据,328e3f1b6ed94c9cb302f3e1c3fef3b8,2025-01-11T22:55:17Z,数据资料
1973～2024 年各省市区县平均观测站气压与海平面气压日度面板数据 & 栅格数据,6c11ffacf33049b19a619e72f6edd75a,2025-01-12T00:05:03Z,数据资料
1980 年 1 月～2025 年 12 月各省市区县地表 PM2.5 质量浓度,45ef1b7a10aa411f8c7c8eac8ce909c2,2026-02-12T22:20:19Z,数据资料
使用 Stata 调用本地部署的大语言模型进行文本主要内容提取——历年政府工作报告中的经济增长目标提取（deepseek版本）,a966fda1b5b8432294804a47504464cd,2025-08-23T18:27:29Z,课程
2007～2016 年位于高新区、开发区、产业园、工业园内的税调企业,e9206821d6e54932851aa582e4a99c61,2025-03-22T23:09:59Z,数据资料
2014～2024 年中国各省市区县分年、分月、逐日 SO2 面板数据,bd1203a0110449e0995d627b8b077319,2025-02-19T23:17:39Z,数据资料
